Results Table 1
;Width;Thickness
;(mm);(mm)
1;9,940;4,03

Raw Data
Time;Displacement;Force
(s);(mm);(kN)
4,5550;1,5124;1,4123
4,5600;1,5140;1,4136
4,5650;1,5157;1,4150
4,5700;1,5174;1,4163
4,5750;1,5191;1,4177
4,5800;1,5208;1,4190
4,5850;1,5225;1,4204
4,5900;1,5241;1,4218
4,5950;1,5258;1,4231
4,6000;1,5274;1,4244
4,6050;1,5290;1,4257
4,6100;1,5307;1,4270
4,6150;1,5324;1,4284
4,6200;1,5341;1,4297
4,6250;1,5357;1,4310
4,6300;1,5374;1,4323
4,6350;1,5391;1,4336
4,6400;1,5407;1,4350
4,6450;1,5424;1,4363
4,6500;1,5441;1,4377
4,6550;1,5458;1,4390
4,6600;1,5474;1,4404
4,6650;1,5491;1,4417
4,6700;1,5507;1,4431
4,6750;1,5523;1,4444
4,6800;1,5540;1,4457
4,6850;1,5557;1,4470
4,6900;1,5574;1,4483
4,6950;1,5590;1,4496
4,7000;1,5607;1,4509
4,7050;1,5623;1,4522
4,7100;1,5640;1,4536
4,7150;1,5657;1,4549
4,7200;1,5674;1,4562
4,7250;1,5691;1,4576
4,7300;1,5708;1,4589
4,7350;1,5724;1,4602
4,7400;1,5740;1,4616
4,7450;1,5757;1,4629
4,7500;1,5774;1,4642
4,7550;1,5791;1,4656
4,7600;1,5808;1,4669
4,7650;1,5824;1,4682
4,7700;1,5840;1,4696
4,7750;1,5857;1,4709
4,7800;1,5873;1,4722
4,7850;1,5890;1,4735
4,7900;1,5907;1,4748
4,7950;1,5924;1,4761
4,8000;1,5941;1,4774
4,8050;1,5957;1,4787
4,8100;1,5974;1,4800
4,8150;1,5991;1,4813
4,8200;1,6008;1,4826
4,8250;1,6025;1,4839
4,8300;1,6042;1,4852
4,8350;1,6058;1,4865
4,8400;1,6074;1,4878
4,8450;1,6091;1,4891
4,8500;1,6107;1,4904
4,8550;1,6124;1,4918
4,8600;1,6140;1,4931
4,8650;1,6157;1,4944
4,8700;1,6173;1,4957
4,8750;1,6190;1,4970
4,8800;1,6207;1,4983
4,8850;1,6224;1,4996
4,8900;1,6241;1,5009
4,8950;1,6258;1,5022
4,9000;1,6274;1,5035
4,9050;1,6291;1,5048
4,9100;1,6307;1,5061
4,9150;1,6324;1,5074
4,9200;1,6341;1,5088
4,9250;1,6357;1,5101
4,9300;1,6374;1,5115
4,9350;1,6390;1,5128
4,9400;1,6407;1,5141
4,9450;1,6423;1,5154
4,9500;1,6440;1,5167
4,9550;1,6457;1,5180
4,9600;1,6474;1,5193
4,9650;1,6490;1,5205
4,9700;1,6507;1,5218
4,9750;1,6524;1,5231
4,9800;1,6540;1,5244
4,9850;1,6557;1,5256
4,9900;1,6574;1,5269
4,9950;1,6591;1,5282
5,0000;1,6608;1,5296
5,0050;1,6624;1,5309
5,0100;1,6640;1,5322
5,0150;1,6657;1,5335
5,0200;1,6674;1,5347
5,0250;1,6690;1,5360
5,0300;1,6707;1,5373
5,0350;1,6723;1,5385
5,0400;1,6740;1,5398
5,0450;1,6756;1,5411
5,0500;1,6773;1,5424
5,0550;1,6790;1,5437
5,0600;1,6807;1,5450
5,0650;1,6824;1,5463
5,0700;1,6841;1,5476
5,0750;1,6857;1,5489
5,0800;1,6874;1,5502
5,0850;1,6891;1,5515
5,0900;1,6907;1,5528
5,0950;1,6924;1,5541
5,1000;1,6940;1,5554
5,1050;1,6957;1,5567
5,1100;1,6973;1,5579
5,1150;1,6989;1,5592
5,1200;1,7006;1,5605
5,1250;1,7023;1,5617
5,1300;1,7040;1,5630
5,1350;1,7057;1,5643
5,1400;1,7074;1,5655
5,1450;1,7090;1,5668
5,1500;1,7107;1,5680
5,1550;1,7124;1,5693
5,1600;1,7141;1,5705
5,1650;1,7158;1,5718
5,1700;1,7174;1,5731
5,1750;1,7190;1,5744
5,1800;1,7206;1,5756
5,1850;1,7223;1,5768
5,1900;1,7240;1,5781
5,1950;1,7257;1,5793
5,2000;1,7273;1,5805
5,2050;1,7290;1,5818
5,2100;1,7306;1,5830
5,2150;1,7322;1,5842
5,2200;1,7339;1,5854
5,2250;1,7356;1,5866
5,2300;1,7374;1,5878
5,2350;1,7390;1,5890
5,2400;1,7407;1,5903
5,2450;1,7423;1,5915
5,2500;1,7440;1,5928
5,2550;1,7457;1,5940
5,2600;1,7474;1,5953
5,2650;1,7490;1,5965
5,2700;1,7507;1,5977
5,2750;1,7523;1,5990
5,2800;1,7539;1,6002
5,2850;1,7556;1,6014
5,2900;1,7573;1,6026
5,2950;1,7590;1,6039
5,3000;1,7606;1,6051
5,3050;1,7623;1,6062
5,3100;1,7639;1,6074
5,3150;1,7656;1,6085
5,3200;1,7673;1,6096
5,3250;1,7691;1,6108
5,3300;1,7708;1,6119
5,3350;1,7725;1,6130
5,3400;1,7741;1,6142
5,3450;1,7757;1,6153
5,3500;1,7774;1,6163
5,3550;1,7791;1,6174
5,3600;1,7807;1,6185
5,3650;1,7824;1,6196
5,3700;1,7840;1,6206
5,3750;1,7857;1,6216
5,3800;1,7873;1,6226
5,3850;1,7890;1,6236
5,3900;1,7907;1,6245
5,3950;1,7924;1,6255
5,4000;1,7941;1,6264
5,4050;1,7958;1,6273
5,4100;1,7974;1,6282
5,4150;1,7991;1,6291
5,4200;1,8007;1,6299
5,4250;1,8024;1,6307
5,4300;1,8041;1,6315
5,4350;1,8057;1,6322
5,4400;1,8074;1,6328
5,4450;1,8090;1,6335
5,4500;1,8106;1,6341
5,4550;1,8123;1,6348
5,4600;1,8140;1,6354
5,4650;1,8157;1,6359
5,4700;1,8174;1,6365
5,4750;1,8190;1,6370
5,4800;1,8207;1,6375
5,4850;1,8223;1,6380
5,4900;1,8240;1,6384
5,4950;1,8257;1,6388
5,5000;1,8274;1,6392
5,5050;1,8291;1,6395
5,5100;1,8308;1,6398
5,5150;1,8324;1,6401
5,5200;1,8341;1,6404
5,5250;1,8358;1,6406
5,5300;1,8375;1,6408
5,5350;1,8391;1,6409
5,5400;1,8408;1,6410
5,5450;1,8424;1,6411
5,5500;1,8441;1,6412
5,5550;1,8457;1,6412
5,5600;1,8474;1,6412
5,5650;1,8492;1,6412
5,5700;1,8508;1,6411
5,5750;1,8525;1,6410
5,5800;1,8542;1,6410
5,5850;1,8558;1,6408
5,5900;1,8575;1,6407
5,5950;1,8592;1,6405
5,6000;1,8608;1,6403
5,6050;1,8625;1,6401
5,6100;1,8641;1,6398
5,6150;1,8658;1,6396
5,6200;1,8674;1,6393
5,6250;1,8691;1,6391
5,6300;1,8707;1,6388
5,6350;1,8724;1,6384
5,6400;1,8741;1,6381
5,6450;1,8758;1,6377
5,6500;1,8775;1,6373
5,6550;1,8791;1,6369
5,6600;1,8808;1,6365
5,6650;1,8825;1,6361
5,6700;1,8842;1,6357
5,6750;1,8858;1,6353
5,6800;1,8874;1,6349
5,6850;1,8890;1,6345
5,6900;1,8907;1,6341
5,6950;1,8924;1,6336
5,7000;1,8941;1,6332
5,7050;1,8957;1,6327
5,7100;1,8974;1,6323
5,7150;1,8990;1,6318
5,7200;1,9007;1,6314
5,7250;1,9024;1,6309
5,7300;1,9041;1,6304
5,7350;1,9058;1,6300
5,7400;1,9075;1,6295
5,7450;1,9091;1,6291
5,7500;1,9108;1,6287
5,7550;1,9125;1,6283
5,7600;1,9141;1,6278
5,7650;1,9158;1,6274
5,7700;1,9175;1,6270
5,7750;1,9192;1,6266
5,7800;1,9208;1,6262
5,7850;1,9224;1,6258
5,7900;1,9240;1,6254
5,7950;1,9257;1,6227
5,8000;1,9275;1,5468
5,8050;1,9296;1,3744
5,8100;1,9317;1,1551
5,8110;1,9321;1,1088

